Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value,Data_Status
11c,2018-19,E12000001,North East,E08000024,Sunderland,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000001,North East,E08000037,Gateshead,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000001,North East,E08000037,Gateshead,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000002,North West,E06000006,Halton,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E06000006,Halton,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,HepB_Number_Eligible,6,Full Data
11c,2018-19,E12000002,North West,E06000007,Warrington,24m,Number,HepB_Number_Vaccinated,6,Full Data
11c,2018-19,E12000002,North West,E06000007,Warrington,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,HepB_Number_Eligible,-1,Missing Data
11c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,HepB_Number_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,%,HepB_Percent_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,HepB_Number_Eligible,-1,Missing Data
11c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,HepB_Number_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E06000009,Blackpool,24m,%,HepB_Percent_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,HepB_Number_Eligible,-1,Missing Data
11c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,HepB_Number_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,%,HepB_Percent_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,HepB_Number_Eligible,-1,Missing Data
11c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,HepB_Number_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,%,HepB_Percent_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,HepB_Number_Eligible,19,Full Data
11c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,HepB_Number_Vaccinated,11,Full Data
11c,2018-19,E12000002,North West,E08000001,Bolton,24m,%,HepB_Percent_Vaccinated,57.8947368421052,Full Data
11c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,HepB_Number_Eligible,45,Full Data
11c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,HepB_Number_Vaccinated,5,Full Data
11c,2018-19,E12000002,North West,E08000002,Bury,24m,%,HepB_Percent_Vaccinated,11.1111111111111,Full Data
11c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,HepB_Number_Eligible,76,Full Data
11c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,HepB_Number_Vaccinated,23,Full Data
11c,2018-19,E12000002,North West,E08000003,Manchester,24m,%,HepB_Percent_Vaccinated,30.2631578947368,Full Data
11c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,HepB_Number_Eligible,72,Full Data
11c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,HepB_Number_Vaccinated,13,Full Data
11c,2018-19,E12000002,North West,E08000004,Oldham,24m,%,HepB_Percent_Vaccinated,18.0555555555555,Full Data
11c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,HepB_Number_Eligible,61,Full Data
11c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,HepB_Number_Vaccinated,11,Full Data
11c,2018-19,E12000002,North West,E08000005,Rochdale,24m,%,HepB_Percent_Vaccinated,18.0327868852459,Full Data
11c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,HepB_Number_Eligible,29,Full Data
11c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,HepB_Number_Vaccinated,22,Full Data
11c,2018-19,E12000002,North West,E08000006,Salford,24m,%,HepB_Percent_Vaccinated,75.8620689655172,Full Data
11c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000002,North West,E08000007,Stockport,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E08000007,Stockport,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,HepB_Number_Eligible,5,Full Data
11c,2018-19,E12000002,North West,E08000008,Tameside,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E08000008,Tameside,24m,%,HepB_Percent_Vaccinated,-2.00000000000000,Full Data
11c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,HepB_Number_Eligible,70,Full Data
11c,2018-19,E12000002,North West,E08000009,Trafford,24m,Number,HepB_Number_Vaccinated,7,Full Data
11c,2018-19,E12000002,North West,E08000009,Trafford,24m,%,HepB_Percent_Vaccinated,10,Full Data
11c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,HepB_Number_Eligible,5,Full Data
11c,2018-19,E12000002,North West,E08000010,Wigan,24m,Number,HepB_Number_Vaccinated,4,Full Data
11c,2018-19,E12000002,North West,E08000010,Wigan,24m,%,HepB_Percent_Vaccinated,80,Full Data
11c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,HepB_Number_Eligible,-1,Missing Data
11c,2018-19,E12000002,North West,E08000011,Knowsley,24m,Number,HepB_Number_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E08000011,Knowsley,24m,%,HepB_Percent_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,HepB_Number_Eligible,26,Full Data
11c,2018-19,E12000002,North West,E08000012,Liverpool,24m,Number,HepB_Number_Vaccinated,8,Full Data
11c,2018-19,E12000002,North West,E08000012,Liverpool,24m,%,HepB_Percent_Vaccinated,30.7692307692307,Full Data
11c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000002,North West,E08000013,St Helens,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E08000013,St Helens,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,HepB_Number_Eligible,0,Full Data
11c,2018-19,E12000002,North West,E08000014,Sefton,24m,Number,HepB_Number_Vaccinated,0,Full Data
11c,2018-19,E12000002,North West,E08000014,Sefton,24m,%,HepB_Percent_Vaccinated,0,Full Data
11c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,HepB_Number_Eligible,4,Full Data
11c,2018-19,E12000002,North West,E08000015,Wirral,24m,Number,HepB_Number_Vaccinated,4,Full Data
11c,2018-19,E12000002,North West,E08000015,Wirral,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,HepB_Number_Eligible,-1,Missing Data
11c,2018-19,E12000002,North West,E10000006,Cumbria,24m,Number,HepB_Number_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E10000006,Cumbria,24m,%,HepB_Percent_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,HepB_Number_Eligible,-1,Missing Data
11c,2018-19,E12000002,North West,E10000017,Lancashire,24m,Number,HepB_Number_Vaccinated,-1,Missing Data
11c,2018-19,E12000002,North West,E10000017,Lancashire,24m,%,HepB_Percent_Vaccinated,-1,Missing Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,HepB_Number_Eligible,10,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000010,Kingston upon Hull,24m,%,HepB_Percent_Vaccinated,-2.00000000000000,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,HepB_Number_Eligible,6,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,Number,HepB_Number_Vaccinated,5,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,24m,%,HepB_Percent_Vaccinated,83.3333333333333,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,HepB_Number_Eligible,0,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,Number,HepB_Number_Vaccinated,0,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E06000014,York,24m,%,HepB_Percent_Vaccinated,0,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,HepB_Number_Eligible,3,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,Number,HepB_Number_Vaccinated,3,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000016,Barnsley,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,HepB_Number_Eligible,5,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,Number,HepB_Number_Vaccinated,4,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000017,Doncaster,24m,%,HepB_Percent_Vaccinated,80,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,24m,Number,HepB_Number_Eligible,13,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,24m,Number,HepB_Number_Vaccinated,13,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000018,Rotherham,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000019,Sheffield,24m,Number,HepB_Number_Eligible,36,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000019,Sheffield,24m,Number,HepB_Number_Vaccinated,36,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000019,Sheffield,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000032,Bradford,24m,Number,HepB_Number_Eligible,24,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000032,Bradford,24m,Number,HepB_Number_Vaccinated,23,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000032,Bradford,24m,%,HepB_Percent_Vaccinated,95.8333333333333,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000033,Calderdale,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000033,Calderdale,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000033,Calderdale,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000034,Kirklees,24m,Number,HepB_Number_Eligible,9,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000034,Kirklees,24m,Number,HepB_Number_Vaccinated,9,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000034,Kirklees,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000035,Leeds,24m,Number,HepB_Number_Eligible,53,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000035,Leeds,24m,Number,HepB_Number_Vaccinated,42,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000035,Leeds,24m,%,HepB_Percent_Vaccinated,79.2452830188679,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000036,Wakefield,24m,Number,HepB_Number_Eligible,13,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000036,Wakefield,24m,Number,HepB_Number_Vaccinated,11,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E08000036,Wakefield,24m,%,HepB_Percent_Vaccinated,84.6153846153846,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,24m,Number,HepB_Number_Eligible,5,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,24m,Number,HepB_Number_Vaccinated,5,Full Data
11c,2018-19,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000004,East Midlands,E06000015,Derby,24m,Number,HepB_Number_Eligible,11,Full Data
11c,2018-19,E12000004,East Midlands,E06000015,Derby,24m,Number,HepB_Number_Vaccinated,11,Full Data
11c,2018-19,E12000004,East Midlands,E06000015,Derby,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000004,East Midlands,E06000016,Leicester,24m,Number,HepB_Number_Eligible,28,Full Data
11c,2018-19,E12000004,East Midlands,E06000016,Leicester,24m,Number,HepB_Number_Vaccinated,27,Full Data
11c,2018-19,E12000004,East Midlands,E06000016,Leicester,24m,%,HepB_Percent_Vaccinated,96.4285714285714,Full Data
11c,2018-19,E12000004,East Midlands,E06000017,Rutland,24m,Number,HepB_Number_Eligible,0,Full Data
11c,2018-19,E12000004,East Midlands,E06000017,Rutland,24m,Number,HepB_Number_Vaccinated,0,Full Data
11c,2018-19,E12000004,East Midlands,E06000017,Rutland,24m,%,HepB_Percent_Vaccinated,0,Full Data
11c,2018-19,E12000004,East Midlands,E06000018,Nottingham,24m,Number,HepB_Number_Eligible,28,Full Data
11c,2018-19,E12000004,East Midlands,E06000018,Nottingham,24m,Number,HepB_Number_Vaccinated,22,Full Data
11c,2018-19,E12000004,East Midlands,E06000018,Nottingham,24m,%,HepB_Percent_Vaccinated,78.5714285714285,Full Data
11c,2018-19,E12000004,East Midlands,E10000007,Derbyshire,24m,Number,HepB_Number_Eligible,7,Full Data
11c,2018-19,E12000004,East Midlands,E10000007,Derbyshire,24m,Number,HepB_Number_Vaccinated,7,Full Data
11c,2018-19,E12000004,East Midlands,E10000007,Derbyshire,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000004,East Midlands,E10000018,Leicestershire,24m,Number,HepB_Number_Eligible,11,Full Data
11c,2018-19,E12000004,East Midlands,E10000018,Leicestershire,24m,Number,HepB_Number_Vaccinated,9,Full Data
11c,2018-19,E12000004,East Midlands,E10000018,Leicestershire,24m,%,HepB_Percent_Vaccinated,81.8181818181818,Full Data
11c,2018-19,E12000004,East Midlands,E10000019,Lincolnshire,24m,Number,HepB_Number_Eligible,9,Full Data
11c,2018-19,E12000004,East Midlands,E10000019,Lincolnshire,24m,Number,HepB_Number_Vaccinated,8,Full Data
11c,2018-19,E12000004,East Midlands,E10000019,Lincolnshire,24m,%,HepB_Percent_Vaccinated,88.8888888888888,Full Data
11c,2018-19,E12000004,East Midlands,E10000021,Northamptonshire,24m,Number,HepB_Number_Eligible,38,Full Data
11c,2018-19,E12000004,East Midlands,E10000021,Northamptonshire,24m,Number,HepB_Number_Vaccinated,36,Full Data
11c,2018-19,E12000004,East Midlands,E10000021,Northamptonshire,24m,%,HepB_Percent_Vaccinated,94.7368421052631,Full Data
11c,2018-19,E12000004,East Midlands,E10000024,Nottinghamshire,24m,Number,HepB_Number_Eligible,11,Full Data
11c,2018-19,E12000004,East Midlands,E10000024,Nottinghamshire,24m,Number,HepB_Number_Vaccinated,11,Full Data
11c,2018-19,E12000004,East Midlands,E10000024,Nottinghamshire,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E06000019,Herefordshire,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000005,West Midlands,E06000019,Herefordshire,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000005,West Midlands,E06000019,Herefordshire,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000005,West Midlands,E06000020,Telford and Wrekin,24m,Number,HepB_Number_Eligible,6,Full Data
11c,2018-19,E12000005,West Midlands,E06000020,Telford and Wrekin,24m,Number,HepB_Number_Vaccinated,6,Full Data
11c,2018-19,E12000005,West Midlands,E06000020,Telford and Wrekin,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E06000021,Stoke-on-Trent,24m,Number,HepB_Number_Eligible,9,Full Data
11c,2018-19,E12000005,West Midlands,E06000021,Stoke-on-Trent,24m,Number,HepB_Number_Vaccinated,9,Full Data
11c,2018-19,E12000005,West Midlands,E06000021,Stoke-on-Trent,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E06000051,Shropshire,24m,Number,HepB_Number_Eligible,-2,Full Data
11c,2018-19,E12000005,West Midlands,E06000051,Shropshire,24m,Number,HepB_Number_Vaccinated,-2,Full Data
11c,2018-19,E12000005,West Midlands,E06000051,Shropshire,24m,%,HepB_Percent_Vaccinated,-2,Full Data
11c,2018-19,E12000005,West Midlands,E08000025,Birmingham,24m,Number,HepB_Number_Eligible,118,Full Data
11c,2018-19,E12000005,West Midlands,E08000025,Birmingham,24m,Number,HepB_Number_Vaccinated,118,Full Data
11c,2018-19,E12000005,West Midlands,E08000025,Birmingham,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E08000026,Coventry,24m,Number,HepB_Number_Eligible,17,Full Data
11c,2018-19,E12000005,West Midlands,E08000026,Coventry,24m,Number,HepB_Number_Vaccinated,17,Full Data
11c,2018-19,E12000005,West Midlands,E08000026,Coventry,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E08000027,Dudley,24m,Number,HepB_Number_Eligible,8,Full Data
11c,2018-19,E12000005,West Midlands,E08000027,Dudley,24m,Number,HepB_Number_Vaccinated,8,Full Data
11c,2018-19,E12000005,West Midlands,E08000027,Dudley,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E08000028,Sandwell,24m,Number,HepB_Number_Eligible,16,Full Data
11c,2018-19,E12000005,West Midlands,E08000028,Sandwell,24m,Number,HepB_Number_Vaccinated,16,Full Data
11c,2018-19,E12000005,West Midlands,E08000028,Sandwell,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E08000029,Solihull,24m,Number,HepB_Number_Eligible,0,Full Data
11c,2018-19,E12000005,West Midlands,E08000029,Solihull,24m,Number,HepB_Number_Vaccinated,0,Full Data
11c,2018-19,E12000005,West Midlands,E08000029,Solihull,24m,%,HepB_Percent_Vaccinated,0,Full Data
11c,2018-19,E12000005,West Midlands,E08000030,Walsall,24m,Number,HepB_Number_Eligible,6,Full Data
11c,2018-19,E12000005,West Midlands,E08000030,Walsall,24m,Number,HepB_Number_Vaccinated,6,Full Data
11c,2018-19,E12000005,West Midlands,E08000030,Walsall,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E08000031,Wolverhampton,24m,Number,HepB_Number_Eligible,18,Full Data
11c,2018-19,E12000005,West Midlands,E08000031,Wolverhampton,24m,Number,HepB_Number_Vaccinated,18,Full Data
11c,2018-19,E12000005,West Midlands,E08000031,Wolverhampton,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E10000028,Staffordshire,24m,Number,HepB_Number_Eligible,9,Full Data
11c,2018-19,E12000005,West Midlands,E10000028,Staffordshire,24m,Number,HepB_Number_Vaccinated,9,Full Data
11c,2018-19,E12000005,West Midlands,E10000028,Staffordshire,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E10000031,Warwickshire,24m,Number,HepB_Number_Eligible,6,Full Data
11c,2018-19,E12000005,West Midlands,E10000031,Warwickshire,24m,Number,HepB_Number_Vaccinated,6,Full Data
11c,2018-19,E12000005,West Midlands,E10000031,Warwickshire,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000005,West Midlands,E10000034,Worcestershire,24m,Number,HepB_Number_Eligible,4,Full Data
11c,2018-19,E12000005,West Midlands,E10000034,Worcestershire,24m,Number,HepB_Number_Vaccinated,4,Full Data
11c,2018-19,E12000005,West Midlands,E10000034,Worcestershire,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000006,East of England,E06000031,Peterborough,24m,Number,HepB_Number_Eligible,12,Full Data
11c,2018-19,E12000006,East of England,E06000031,Peterborough,24m,Number,HepB_Number_Vaccinated,9,Full Data
11c,2018-19,E12000006,East of England,E06000031,Peterborough,24m,%,HepB_Percent_Vaccinated,75,Full Data
11c,2018-19,E12000006,East of England,E06000032,Luton,24m,Number,HepB_Number_Eligible,44,Full Data
11c,2018-19,E12000006,East of England,E06000032,Luton,24m,Number,HepB_Number_Vaccinated,33,Full Data
11c,2018-19,E12000006,East of England,E06000032,Luton,24m,%,HepB_Percent_Vaccinated,75,Full Data
11c,2018-19,E12000006,East of England,E06000033,Southend-on-Sea,24m,Number,HepB_Number_Eligible,3,Full Data
11c,2018-19,E12000006,East of England,E06000033,Southend-on-Sea,24m,Number,HepB_Number_Vaccinated,2,Full Data
11c,2018-19,E12000006,East of England,E06000033,Southend-on-Sea,24m,%,HepB_Percent_Vaccinated,66.6666666666666,Full Data
11c,2018-19,E12000006,East of England,E06000034,Thurrock,24m,Number,HepB_Number_Eligible,19,Full Data
11c,2018-19,E12000006,East of England,E06000034,Thurrock,24m,Number,HepB_Number_Vaccinated,17,Full Data
11c,2018-19,E12000006,East of England,E06000034,Thurrock,24m,%,HepB_Percent_Vaccinated,89.4736842105263,Full Data
11c,2018-19,E12000006,East of England,E06000055,Bedford,24m,Number,HepB_Number_Eligible,6,Full Data
11c,2018-19,E12000006,East of England,E06000055,Bedford,24m,Number,HepB_Number_Vaccinated,4,Full Data
11c,2018-19,E12000006,East of England,E06000055,Bedford,24m,%,HepB_Percent_Vaccinated,66.6666666666666,Full Data
11c,2018-19,E12000006,East of England,E06000056,Central Bedfordshire,24m,Number,HepB_Number_Eligible,7,Full Data
11c,2018-19,E12000006,East of England,E06000056,Central Bedfordshire,24m,Number,HepB_Number_Vaccinated,7,Full Data
11c,2018-19,E12000006,East of England,E06000056,Central Bedfordshire,24m,%,HepB_Percent_Vaccinated,100,Full Data
11c,2018-19,E12000006,East of England,E10000003,Cambridgeshire,24m,Number,HepB_Number_Eligible,14,Full Data
11c,2018-19,E12000006,East of England,E10000003,Cambridgeshire,24m,Number,HepB_Number_Vaccinated,10,Full Data
11c,2018-19,E12000006,East of England,E10000003,Cambridgeshire,24m,%,HepB_Percent_Vaccinated,71.4285714285714,Full Data
