Table_Ref,CollectionYearRange,Parent_Org_Name,Parent_Org_ONS_Code,Org_Name,Org_ONS_Code,Child_Age_RiskGroup,Unit,Indicator,Value
13a_13b,2018-19,North West,E12000002,North West,E12000002,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),55.96429537462810
13a_13b,2018-19,North West,E12000002,North West,E12000002,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),44.60374829459780
13a_13b,2018-19,North West,E12000002,North West,E12000002,All 3 year olds,%,Influenza (seasonal flu),45.08509541000520
13a_13b,2018-19,North West,E12000002,Blackburn with Darwen,E06000008,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),42.52873563218390
13a_13b,2018-19,North West,E12000002,Blackburn with Darwen,E06000008,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),35.58068725532840
13a_13b,2018-19,North West,E12000002,Blackburn with Darwen,E06000008,All 3 year olds,%,Influenza (seasonal flu),35.83403185247280
13a_13b,2018-19,North West,E12000002,Blackpool,E06000009,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),60.00000000000000
13a_13b,2018-19,North West,E12000002,Blackpool,E06000009,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.28412419449330
13a_13b,2018-19,North West,E12000002,Blackpool,E06000009,All 3 year olds,%,Influenza (seasonal flu),46.05993340732520
13a_13b,2018-19,North West,E12000002,Bolton,E08000001,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),55.31914893617020
13a_13b,2018-19,North West,E12000002,Bolton,E08000001,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),36.72442705422020
13a_13b,2018-19,North West,E12000002,Bolton,E08000001,All 3 year olds,%,Influenza (seasonal flu),37.42941650981450
13a_13b,2018-19,North West,E12000002,Bury,E08000002,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),62.50000000000000
13a_13b,2018-19,North West,E12000002,Bury,E08000002,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),50.20804438280170
13a_13b,2018-19,North West,E12000002,Bury,E08000002,All 3 year olds,%,Influenza (seasonal flu),50.79260237780710
13a_13b,2018-19,North West,E12000002,Cheshire East,E06000049,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),67.87878787878790
13a_13b,2018-19,North West,E12000002,Cheshire East,E06000049,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),57.91563275434240
13a_13b,2018-19,North West,E12000002,Cheshire East,E06000049,All 3 year olds,%,Influenza (seasonal flu),58.30750893921330
13a_13b,2018-19,North West,E12000002,Cheshire West and Chester,E06000050,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),54.00000000000000
13a_13b,2018-19,North West,E12000002,Cheshire West and Chester,E06000050,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),53.27349524815210
13a_13b,2018-19,North West,E12000002,Cheshire West and Chester,E06000050,All 3 year olds,%,Influenza (seasonal flu),53.30116810563740
13a_13b,2018-19,North West,E12000002,Cumbria,E10000006,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),59.16230366492150
13a_13b,2018-19,North West,E12000002,Cumbria,E10000006,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),51.47492625368730
13a_13b,2018-19,North West,E12000002,Cumbria,E10000006,All 3 year olds,%,Influenza (seasonal flu),51.77233137532920
13a_13b,2018-19,North West,E12000002,Halton,E06000006,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),55.00000000000000
13a_13b,2018-19,North West,E12000002,Halton,E06000006,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),38.67667121418830
13a_13b,2018-19,North West,E12000002,Halton,E06000006,All 3 year olds,%,Influenza (seasonal flu),39.52134540750320
13a_13b,2018-19,North West,E12000002,Knowsley,E08000011,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),33.33333333333330
13a_13b,2018-19,North West,E12000002,Knowsley,E08000011,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),36.21262458471760
13a_13b,2018-19,North West,E12000002,Knowsley,E08000011,All 3 year olds,%,Influenza (seasonal flu),36.09341825902340
13a_13b,2018-19,North West,E12000002,Lancashire,E10000017,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),59.85533453887880
13a_13b,2018-19,North West,E12000002,Lancashire,E10000017,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),44.92199449372900
13a_13b,2018-19,North West,E12000002,Lancashire,E10000017,All 3 year olds,%,Influenza (seasonal flu),45.52791840927430
13a_13b,2018-19,North West,E12000002,Liverpool,E08000012,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),44.64944649446490
13a_13b,2018-19,North West,E12000002,Liverpool,E08000012,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),32.21317040054310
13a_13b,2018-19,North West,E12000002,Liverpool,E08000012,All 3 year olds,%,Influenza (seasonal flu),32.76001947103680
13a_13b,2018-19,North West,E12000002,Manchester,E08000003,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),47.05882352941180
13a_13b,2018-19,North West,E12000002,Manchester,E08000003,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),38.52824894783830
13a_13b,2018-19,North West,E12000002,Manchester,E08000003,All 3 year olds,%,Influenza (seasonal flu),38.88277716660550
13a_13b,2018-19,North West,E12000002,Oldham,E08000004,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),57.74647887323940
13a_13b,2018-19,North West,E12000002,Oldham,E08000004,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),42.40625000000000
13a_13b,2018-19,North West,E12000002,Oldham,E08000004,All 3 year olds,%,Influenza (seasonal flu),43.36360972751250
13a_13b,2018-19,North West,E12000002,Rochdale,E08000005,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),67.92452830188680
13a_13b,2018-19,North West,E12000002,Rochdale,E08000005,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),43.21554770318020
13a_13b,2018-19,North West,E12000002,Rochdale,E08000005,All 3 year olds,%,Influenza (seasonal flu),44.52994312479090
13a_13b,2018-19,North West,E12000002,Salford,E08000006,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),48.76033057851240
13a_13b,2018-19,North West,E12000002,Salford,E08000006,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),35.80464842600770
13a_13b,2018-19,North West,E12000002,Salford,E08000006,All 3 year olds,%,Influenza (seasonal flu),36.25000000000000
13a_13b,2018-19,North West,E12000002,Sefton,E08000014,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),45.52845528455280
13a_13b,2018-19,North West,E12000002,Sefton,E08000014,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),42.07589285714290
13a_13b,2018-19,North West,E12000002,Sefton,E08000014,All 3 year olds,%,Influenza (seasonal flu),42.22696549270720
13a_13b,2018-19,North West,E12000002,St Helens,E08000013,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),47.95918367346940
13a_13b,2018-19,North West,E12000002,St Helens,E08000013,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),42.82077393075360
13a_13b,2018-19,North West,E12000002,St Helens,E08000013,All 3 year olds,%,Influenza (seasonal flu),43.06498545101840
13a_13b,2018-19,North West,E12000002,Stockport,E08000007,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),76.55172413793100
13a_13b,2018-19,North West,E12000002,Stockport,E08000007,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),64.78793054369490
13a_13b,2018-19,North West,E12000002,Stockport,E08000007,All 3 year olds,%,Influenza (seasonal flu),65.25423728813560
13a_13b,2018-19,North West,E12000002,Tameside,E08000008,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),54.03225806451610
13a_13b,2018-19,North West,E12000002,Tameside,E08000008,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),46.48351648351650
13a_13b,2018-19,North West,E12000002,Tameside,E08000008,All 3 year olds,%,Influenza (seasonal flu),46.81149264190610
13a_13b,2018-19,North West,E12000002,Trafford,E08000009,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),61.68224299065420
13a_13b,2018-19,North West,E12000002,Trafford,E08000009,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),52.33876683203400
13a_13b,2018-19,North West,E12000002,Trafford,E08000009,All 3 year olds,%,Influenza (seasonal flu),52.68009559576650
13a_13b,2018-19,North West,E12000002,Warrington,E06000007,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),57.57575757575760
13a_13b,2018-19,North West,E12000002,Warrington,E06000007,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),47.72618477740550
13a_13b,2018-19,North West,E12000002,Warrington,E06000007,All 3 year olds,%,Influenza (seasonal flu),48.17184643510050
13a_13b,2018-19,North West,E12000002,Wigan,E08000010,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),61.29032258064520
13a_13b,2018-19,North West,E12000002,Wigan,E08000010,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.32283464566930
13a_13b,2018-19,North West,E12000002,Wigan,E08000010,All 3 year olds,%,Influenza (seasonal flu),45.92300697180960
13a_13b,2018-19,North West,E12000002,Wirral,E08000015,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),58.38509316770190
13a_13b,2018-19,North West,E12000002,Wirral,E08000015,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),46.16048317515100
13a_13b,2018-19,North West,E12000002,Wirral,E08000015,All 3 year olds,%,Influenza (seasonal flu),46.70148433205060
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Yorkshire and the Humber,E12000003,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),51.14715189873420
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Yorkshire and the Humber,E12000003,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),42.74176946586640
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Yorkshire and the Humber,E12000003,All 3 year olds,%,Influenza (seasonal flu),43.06530444447830
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Barnsley,E08000016,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),61.85567010309280
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Barnsley,E08000016,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),52.91984040623870
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Barnsley,E08000016,All 3 year olds,%,Influenza (seasonal flu),53.22354590049050
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Bradford,E08000032,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),38.30845771144280
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Bradford,E08000032,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),30.47945205479450
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Bradford,E08000032,All 3 year olds,%,Influenza (seasonal flu),30.85928071445810
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Calderdale,E08000033,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),55.20833333333330
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Calderdale,E08000033,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),44.93484657419080
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Calderdale,E08000033,All 3 year olds,%,Influenza (seasonal flu),45.33333333333330
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Doncaster,E08000017,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),54.89130434782610
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Doncaster,E08000017,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),37.78456413103830
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Doncaster,E08000017,All 3 year olds,%,Influenza (seasonal flu),38.61595351294240
13a_13b,2018-19,Yorkshire and the Humber,E12000003,East Riding of Yorkshire,E06000011,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),50.45871559633030
13a_13b,2018-19,Yorkshire and the Humber,E12000003,East Riding of Yorkshire,E06000011,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),46.48876404494380
13a_13b,2018-19,Yorkshire and the Humber,E12000003,East Riding of Yorkshire,E06000011,All 3 year olds,%,Influenza (seasonal flu),46.63510314507950
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Kingston upon Hull,E06000010,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),45.45454545454550
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Kingston upon Hull,E06000010,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),36.24309392265190
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Kingston upon Hull,E06000010,All 3 year olds,%,Influenza (seasonal flu),36.51474530831100
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Kirklees,E08000034,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),43.45549738219900
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Kirklees,E08000034,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),37.14721586575130
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Kirklees,E08000034,All 3 year olds,%,Influenza (seasonal flu),37.36890524379020
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Leeds,E08000035,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),56.25000000000000
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Leeds,E08000035,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),46.27669998040370
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Leeds,E08000035,All 3 year olds,%,Influenza (seasonal flu),46.60920628906990
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North East Lincolnshire,E06000012,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),47.91666666666670
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North East Lincolnshire,E06000012,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),38.74873864783050
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North East Lincolnshire,E06000012,All 3 year olds,%,Influenza (seasonal flu),39.17228103946100
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North Lincolnshire,E06000013,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),43.28358208955220
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North Lincolnshire,E06000013,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),39.76705490848590
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North Lincolnshire,E06000013,All 3 year olds,%,Influenza (seasonal flu),39.89304812834220
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North Yorkshire,E10000023,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),66.06334841628960
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North Yorkshire,E10000023,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),54.47761194029850
13a_13b,2018-19,Yorkshire and the Humber,E12000003,North Yorkshire,E10000023,All 3 year olds,%,Influenza (seasonal flu),54.93639132771910
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Rotherham,E08000018,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),58.87096774193550
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Rotherham,E08000018,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),40.85047054722900
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Rotherham,E08000018,All 3 year olds,%,Influenza (seasonal flu),41.59705980621450
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Sheffield,E08000019,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),47.81021897810220
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Sheffield,E08000019,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),44.96062992125980
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Sheffield,E08000019,All 3 year olds,%,Influenza (seasonal flu),45.07850241545890
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Wakefield,E08000036,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),54.30463576158940
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Wakefield,E08000036,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.98055489684610
13a_13b,2018-19,Yorkshire and the Humber,E12000003,Wakefield,E08000036,All 3 year olds,%,Influenza (seasonal flu),46.26831501831500
13a_13b,2018-19,Yorkshire and the Humber,E12000003,York,E06000014,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),59.25925925925930
13a_13b,2018-19,Yorkshire and the Humber,E12000003,York,E06000014,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),50.34516765286000
13a_13b,2018-19,Yorkshire and the Humber,E12000003,York,E06000014,All 3 year olds,%,Influenza (seasonal flu),50.57636887608070
13a_13b,2018-19,East Midlands,E12000004,East Midlands,E12000004,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),59.44723618090450
13a_13b,2018-19,East Midlands,E12000004,East Midlands,E12000004,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),51.12022720100980
13a_13b,2018-19,East Midlands,E12000004,East Midlands,E12000004,All 3 year olds,%,Influenza (seasonal flu),51.41685910173100
13a_13b,2018-19,East Midlands,E12000004,Derby,E06000015,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),55.37190082644630
13a_13b,2018-19,East Midlands,E12000004,Derby,E06000015,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.51765771204350
13a_13b,2018-19,East Midlands,E12000004,Derby,E06000015,All 3 year olds,%,Influenza (seasonal flu),45.86488060570760
13a_13b,2018-19,East Midlands,E12000004,Derbyshire,E10000007,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),59.58904109589040
13a_13b,2018-19,East Midlands,E12000004,Derbyshire,E10000007,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),55.09534798979720
13a_13b,2018-19,East Midlands,E12000004,Derbyshire,E10000007,All 3 year olds,%,Influenza (seasonal flu),55.24926686217010
13a_13b,2018-19,East Midlands,E12000004,Leicester,E06000016,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),48.52941176470590
13a_13b,2018-19,East Midlands,E12000004,Leicester,E06000016,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),40.49471374426490
13a_13b,2018-19,East Midlands,E12000004,Leicester,E06000016,All 3 year olds,%,Influenza (seasonal flu),40.70693338512330
13a_13b,2018-19,East Midlands,E12000004,Leicestershire (inc. Rutland),E10000018,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),71.26436781609200
13a_13b,2018-19,East Midlands,E12000004,Leicestershire (inc. Rutland),E10000018,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),61.93900652550270
13a_13b,2018-19,East Midlands,E12000004,Leicestershire (inc. Rutland),E10000018,All 3 year olds,%,Influenza (seasonal flu),62.25225225225220
13a_13b,2018-19,East Midlands,E12000004,Lincolnshire,E10000019,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),61.23076923076920
13a_13b,2018-19,East Midlands,E12000004,Lincolnshire,E10000019,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),54.42020665901260
13a_13b,2018-19,East Midlands,E12000004,Lincolnshire,E10000019,All 3 year olds,%,Influenza (seasonal flu),54.69132778049980
13a_13b,2018-19,East Midlands,E12000004,Northamptonshire,E10000021,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),56.81818181818180
13a_13b,2018-19,East Midlands,E12000004,Northamptonshire,E10000021,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),47.94579945799460
13a_13b,2018-19,East Midlands,E12000004,Northamptonshire,E10000021,All 3 year olds,%,Influenza (seasonal flu),48.31098638395180
13a_13b,2018-19,East Midlands,E12000004,Nottingham,E06000018,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),53.24675324675320
13a_13b,2018-19,East Midlands,E12000004,Nottingham,E06000018,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),41.79451417945140
13a_13b,2018-19,East Midlands,E12000004,Nottingham,E06000018,All 3 year olds,%,Influenza (seasonal flu),42.19030520646320
13a_13b,2018-19,East Midlands,E12000004,Nottinghamshire,E10000024,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),60.32786885245900
13a_13b,2018-19,East Midlands,E12000004,Nottinghamshire,E10000024,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),51.28569735750680
13a_13b,2018-19,East Midlands,E12000004,Nottinghamshire,E10000024,All 3 year olds,%,Influenza (seasonal flu),51.60109789569990
13a_13b,2018-19,West Midlands,E12000005,West Midlands,E12000005,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),57.21153846153850
13a_13b,2018-19,West Midlands,E12000005,West Midlands,E12000005,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.75286451821670
13a_13b,2018-19,West Midlands,E12000005,West Midlands,E12000005,All 3 year olds,%,Influenza (seasonal flu),46.19117002164350
13a_13b,2018-19,West Midlands,E12000005,Birmingham,E08000025,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),49.62630792227200
13a_13b,2018-19,West Midlands,E12000005,Birmingham,E08000025,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),36.21718010207220
13a_13b,2018-19,West Midlands,E12000005,Birmingham,E08000025,All 3 year olds,%,Influenza (seasonal flu),36.74698795180720
13a_13b,2018-19,West Midlands,E12000005,Coventry,E08000026,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),58.53658536585370
