Table_Ref,CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Parent_Org_ONS_Code,Org_Name,Org_ONS_Code,Org_Code,Child_Age_RiskGroup,Unit,Indicator,Value
13c,2018-19,Y58,South West,E40000006,South West North,E39000043,Q86,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),67.65005086469990
13c,2018-19,Y58,South West,E40000006,South West North,E39000043,Q86,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),56.60540852799940
13c,2018-19,Y58,South West,E40000006,South West North,E39000043,Q86,All 3 year olds,%,Influenza (seasonal flu),56.98396094839610
13c,2018-19,Y58,South West,E40000006,South West South,E39000044,Q85,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),65.96306068601580
13c,2018-19,Y58,South West,E40000006,South West South,E39000044,Q85,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),55.97308950341960
13c,2018-19,Y58,South West,E40000006,South West South,E39000044,Q85,All 3 year olds,%,Influenza (seasonal flu),56.37816055062230
13c,2018-19,Y59,South East,E40000005,South East,E40000005,Y59,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),59.09510618651890
13c,2018-19,Y59,South East,E40000005,South East,E40000005,Y59,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),49.91089560280160
13c,2018-19,Y59,South East,E40000005,South East,E40000005,Y59,All 3 year olds,%,Influenza (seasonal flu),50.20999348468900
13c,2018-19,Y59,South East,E40000005,"Hampshire, Isle of Wight and Thames Valley",E39000041,Q87,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),63.87959866220740
13c,2018-19,Y59,South East,E40000005,"Hampshire, Isle of Wight and Thames Valley",E39000041,Q87,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),54.43947292804070
13c,2018-19,Y59,South East,E40000005,"Hampshire, Isle of Wight and Thames Valley",E39000041,Q87,All 3 year olds,%,Influenza (seasonal flu),54.72051297369420
13c,2018-19,Y59,South East,E40000005,"Kent, Surrey and Sussex",E39000042,Q88,Aged 3 and IN a clinical risk group,%,Influenza (seasonal flu),55.01710376282780
13c,2018-19,Y59,South East,E40000005,"Kent, Surrey and Sussex",E39000042,Q88,Aged 3 and NOT IN a clinical risk group,%,Influenza (seasonal flu),45.29438841695610
13c,2018-19,Y59,South East,E40000005,"Kent, Surrey and Sussex",E39000042,Q88,All 3 year olds,%,Influenza (seasonal flu),45.63857269718250
