Table_Ref,CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Parent_Org_ONS_Code,Org_Name,Org_ONS_Code,Org_Code,Child_Age_RiskGroup,Unit,Indicator,Value
12c,2018-19,Y58,South West,E40000006,South West,E40000006,Y58,Aged 2 and NOT IN a clinical risk group,%,Influenza (seasonal flu),55.91951504528190
12c,2018-19,Y58,South West,E40000006,South West,E40000006,Y58,All 2 year olds,%,Influenza (seasonal flu),56.08932190733560
12c,2018-19,Y58,South West,E40000006,South West North,E39000043,Q86,Aged 2 and IN a clinical risk group,%,Influenza (seasonal flu),59.88857938718660
12c,2018-19,Y58,South West,E40000006,South West North,E39000043,Q86,Aged 2 and NOT IN a clinical risk group,%,Influenza (seasonal flu),55.36814209998570
12c,2018-19,Y58,South West,E40000006,South West North,E39000043,Q86,All 2 year olds,%,Influenza (seasonal flu),55.48146079184410
12c,2018-19,Y58,South West,E40000006,South West South,E39000044,Q85,Aged 2 and IN a clinical risk group,%,Influenza (seasonal flu),64.73684210526320
12c,2018-19,Y58,South West,E40000006,South West South,E39000044,Q85,Aged 2 and NOT IN a clinical risk group,%,Influenza (seasonal flu),56.49307107733570
12c,2018-19,Y58,South West,E40000006,South West South,E39000044,Q85,All 2 year olds,%,Influenza (seasonal flu),56.72004057382990
12c,2018-19,Y59,South East,E40000005,South East,E40000005,Y59,Aged 2 and IN a clinical risk group,%,Influenza (seasonal flu),58.57988165680470
12c,2018-19,Y59,South East,E40000005,South East,E40000005,Y59,Aged 2 and NOT IN a clinical risk group,%,Influenza (seasonal flu),46.64940177137830
12c,2018-19,Y59,South East,E40000005,South East,E40000005,Y59,All 2 year olds,%,Influenza (seasonal flu),46.91488068711260
12c,2018-19,Y59,South East,E40000005,"Hampshire, Isle of Wight and Thames Valley",E39000041,Q87,Aged 2 and IN a clinical risk group,%,Influenza (seasonal flu),61.71648987463840
12c,2018-19,Y59,South East,E40000005,"Hampshire, Isle of Wight and Thames Valley",E39000041,Q87,Aged 2 and NOT IN a clinical risk group,%,Influenza (seasonal flu),51.06487248075470
12c,2018-19,Y59,South East,E40000005,"Hampshire, Isle of Wight and Thames Valley",E39000041,Q87,All 2 year olds,%,Influenza (seasonal flu),51.28574285142970
12c,2018-19,Y59,South East,E40000005,"Kent, Surrey and Sussex",E39000042,Q88,Aged 2 and IN a clinical risk group,%,Influenza (seasonal flu),55.77586206896550
12c,2018-19,Y59,South East,E40000005,"Kent, Surrey and Sussex",E39000042,Q88,Aged 2 and NOT IN a clinical risk group,%,Influenza (seasonal flu),42.10293932130690
12c,2018-19,Y59,South East,E40000005,"Kent, Surrey and Sussex",E39000042,Q88,All 2 year olds,%,Influenza (seasonal flu),42.42847173761340
